sentence,years_found,percentages_found
"On the other hand in the same period the unemployment rate has remained stubbornly at around 10%, and the rate of participation of the labour force declined including for women whose participaton rate is as low as 26%.",,"10%, 26%"
"Roosevelt  HUMAN DEVELOPMENT REPORT / TURKEY 2008 skills, culture, values, education, knowledge, teaching, governance, management and further capacity creation.",2008,
Turkey started a strong process of modernisation under the guidance of Mustafa Kemal Atatürk at the foundation of the Republic in 1923.,1923,
"However, it still has strong potentials and more specifically, the window of opportunity 3 TURKEY 2008 / HUMAN DEVELOPMENT REPORT will last until 2040.","2008, 2040",
"In the same vein, Turkey’s entire prospective development path toward 2023 and beyond aiming at such targets as very high levels of competitiveness, higher employment, sustainability of growth, greater equity and gender equality makes an effective policy focus on youth all the more pertinent.",2023,
"4 HUMAN DEVELOPMENT REPORT / TURKEY 2008 This present Report is to a significant extent based on a comprehensive ‘State of Youth Survey’ carried out among 3,322 young individuals aged 15-24 in 12 different regions (Istanbul, Adana, Malatya, Ankara, Izmir, Bursa, Tekirdağ, Diyarbakır, Samsun, Trabzon",2008,
"During March-July 2007, more than 150 meetings and interviews were held and more than 5,000 e-mails were reviewed for the preparation of this Report.",2007,
"According to the 2007 Population Census, there are more than 12 million young people between the ages of 15-24 in Turkey, corresponding to 17.6% of the total population.3 Youth obviously constitute a very strong potential for Turkey.",2007,17.6%
"Of the 12.4 million young people aged 15-24, 30% go to school, 30% work.",,"30%, 30%"
"Moreover, almost 40% -5 million young peopleare ‘idle’: They neither work, nor go to school.",,40%
"In the longer run, the creation of a youth parliament may provide a platform for 5 TURKEY 2008 / HUMAN DEVELOPMENT REPORT young people to express themselves on issues and policies which affect them.",2008,
Ongoing reform efforts to change the student selection processes and having multiple exams at the end of each year 6 HUMAN DEVELOPMENT REPORT / TURKEY 2008 in secondary school and using the cumulative score from these exams as the placement criteria for tertiary education are positive signals highli,2008,
"In a package of recommendations addressing the Turkish Government, the education experts propose, in the framework of ‘Educational Reform Initiative’4, that “In order to train teachers with the necessary tools and skills and to encourage them to prepare their students to become democratic and contem","2008, 2012",
There is a need to ensure adequate quality across the spectrum of existing universities and more 7 TURKEY 2008 / HUMAN DEVELOPMENT REPORT particularly with respect to the new ones being created.,2008,
"Turkey, whose  HUMAN DEVELOPMENT REPORT / TURKEY 2008 legal framework relating to child labour is already strong, has made serious efforts which have brought noticeable improvements in implementation in this field as confirmed by ILO/Turkey.",2008,
Greater participation of youth in decision processes across the coun- 9 TURKEY 2008 / HUMAN DEVELOPMENT REPORT try would contribute significantly to Human Development .,2008,
Selected policy directions relating to youth on Turkey’s path to 2023.,2023,
Turkey aims to reach a significantly higher level of income and a distinctly more advanced degree of development by 2023 which coincides with the centenary of the Turkish Republic.,2023,
"Apart from the related education and labour components of this process partly dealt 10 HUMAN DEVELOPMENT REPORT / TURKEY 2008 with above, it is worth emphasising that a strategy of transformation to the knowledge economy is indispensable.",2008,
"For the knowledge economy path to become predominant with the increasing and most active participation of youth, the following would also be needed: more flexible and efficient governance structures; a significant improvement in the abolition of unrecorded economic activities; a more rules-based com",2023,
Chapter 1 YOUTH POLICY IN TURKEY “ Human Development allows for space in which a person has the ability to do (be) certain things that s/he values.”6 Amartya Sen 13 TURKEY 2008 / HUMAN DEVELOPMENT REPORT 1 invisible group.,2008,
Selected critical characteristics and issues 14 HUMAN DEVELOPMENT REPORT / TURKEY 2008 1 broadly with their vision and energy.,2008,
"• Village institutes, which functioned between 1940 and 1953, provide another example.","1940, 1953",
The 1961 Constitution recognized a positive role for young people and several student societies became active in rural areas and urban community work.,1961,
The political chaos culminated in the military coup of 1980.,1980,
The Constitution of 1982 that followed the 1980 coup erected new barriers for youth.,"1982, 1980",
"Although some amendments and reforms have been made - decreasing the voting-age from 21 to 18 in 1995, for example - opportunities for young people to participate in political and social life were limited.",1995,
"Now, political parties have relatively weak grassroots organizations, and the representation of young generations, especially young women, is very weak.11 Following the massive 1999 earthquake, when 20,000 people died, Turkey witnessed the mobilization of hundreds of thousands of volunteers, mostly ",1999,
The high rates of youth unemployment –nearly 19% - and the low rates of youth participation in the labour force – under 35% - speak to the limited opportunities for youth in Turkey.,,"19%, 35%"
"15 TURKEY 2008 / HUMAN DEVELOPMENT REPORT 1 Poverty, unemployment and migration to a big city without the skills needed in the urban labour market limit a young person’s chances to get established in life – let alone to advance.",2008,
"Key areas where such support is missing: • Coverage of primary and secondary education is still not 100% - and dropout rates are still high, especially among women and often for economic reasons.",,100%
• Pre-school education reaches only about 20% of the pre-school population.,,20%
"Although school enrolment rates for girls have increased and gender gaps in enrolment and attendance in primary education have closed by 15% in recent years, there were gender gaps of 4% in primary education and 8% in secondary education in the 2006-2007 education year.12 Adolescent girls drop out o","2006, 2007","15%, 4%, 8%"
Only 25% of the female population over 15 years of age is accounted for in labour force participation rates.,,25%
16 HUMAN DEVELOPMENT REPORT / TURKEY 2008 1 The discrimination faced by young women is best symbolized in their access to modern age public places such as internet cafes.,2008,
Even though female Turkish citizens gained the right to vote and to be elected in 1935 - years before many other European countries - the number of women in parliament is still very low.,1935,
There are currently only 50 women among the 550 deputies in the parliament – and even this number is double the number before the elections of July 2007.,2007,
"Of these 12 million, 30% go to school, 30% work.",,"30%, 30%"
"Almost 40% --5 million young people-- are ‘idle.’ They neither work, nor go to school.",,40%
"17 TURKEY 2008 / HUMAN DEVELOPMENT REPORT 1 will benefit, but also their families, their local communities and to some degree the country as a whole.",2008,
"As the first Human Development Report, published in 1990, put it: “ Human Development is a process of enlarging people’s choices.",1990,
"Additional choices include political freedom, guaranteed human rights and personal self-respect” (UNDP, Human Development Report 1990, page 1).",1990,
"In these cases, not only the individuals 18 HUMAN DEVELOPMENT REPORT / TURKEY 2008 1 Young people in Turkey today – those between the ages of 15 and 24, girls and boys, young women and young men in cities, towns and rural areas, in the West and in the East, in the South and the North – find themselv",2008,
The fact that there is not a National Youth Council that will contribute to 19 TURKEY 2008 / HUMAN DEVELOPMENT REPORT 1 coordination in Turkey accounts at least partly for this problem18.,2008,
"YOUTH IN CENTRAL GOVERNMENT POLICY State Planning Organization 2008-2010 Medium-term Programme - Equal opportunities will be provided to women, youth, long-term unemployed, handicapped and the formerly convicted who face difficulties in the labour market.","2008, 2010",
"Strategy of the Ninth Development Plan (2007-2013) - Social affinity of the youth, sensitivity and self confidence will be developed in a manner to foster their confidence in the future.","2007, 2013",
Such a Council should assist in the preparation of 20 HUMAN DEVELOPMENT REPORT / TURKEY 2008 1 BOX 1.2.,2008,
"The share allocated to the General Directorate of Youth and Sports from the Government’s budget is only 0.2% (approximately US$ 247 million)22 and only 1% of this financial support is allocated to the Department of Youth Services, which is the only body under GSGM not related to sports.23 In other w",,"0.2%, 1%"
21 TURKEY 2008 / HUMAN DEVELOPMENT REPORT 1 together on such a bill.,2008,
"YOUTH NGOs AND PUBLIC SECTOR SYNCHRONIZATION PROJECT The “Youth NGOs and Public Synchronization Project” was realized between December 2005 – December 2006 in Ankara in particular, as well as in Adana, Erzurum, Isparta, Antalya, İstanbul, İzmir and Şanlıurfa.","2005, 2006",
The outputs of the Youth NGOs and Public Synchronization Project realized during 2005-2006 (See Box 1.3.) show that NGOs and public institutions could work 1.3.1.,"2005, 2006",
A multi-sectoral and multi-dimensional policy for youth advancement and protection could be in place by the end of 2008.,2008,
For a comprehensive youth policy 22 HUMAN DEVELOPMENT REPORT / TURKEY 2008 1 1.3.2.,2008,
23 TURKEY 2008 / HUMAN DEVELOPMENT REPORT 1 and resources necessary for their full development.,2008,
A participatory formulation process would follow the setup 24 HUMAN DEVELOPMENT REPORT / TURKEY 2008 1 of the strategic goals as a fourth step.,2008,
"Skinner 27 TURKEY 2008 / HUMAN DEVELOPMENT REPORT 2 Despite this considerable increase, expenditure on education is still low compared to OECD countries.",2008,
"Expenditures per primary, secondary (and post-secondary non-tertiary) students increased in most countries between 1995 and 2004.","1995, 2004",
"The increase is 50% or more in a group of countries including Turkey, Greece, Hungary, Ireland, Poland, Portugal, and the Slovak Republic.",,50%
"This expenditure goes up to US$ 100,000 or more in Austria, Denmark, Iceland, Luxembourg, Norway, Switzerland and the United States.34 In 1997 the number of years of compulsory primary school education in Turkey was increased to eight years (from five).35 This change also increased the net enrolment",1997,89%
But still only 56% of young people are continuing to high school after primary school.,,56%
Only 18% make it to the university right after graduating from high school.36 Figure 2.1 draws a rather striking picture of the elimination of youth as they attempt to advance in the educational system.,,18%
"While the country-level average schooling rate at primary education level is 89% as shown above, this rate is 79% in Southeastern Anatolian region and 84% in Northeastern Anatolia.",,"89%, 79%, 84%"
"…Primary education is compulsory for all citizens of both sexes and is free of charge in state schools...” 31 The share of Ministry of National Education (MoNE) in the central budget has been increasing steadily in the last five years.32 In 2006, this share in the budget was 9.5%, increasing to 10.4","2006, 2007","9.5%, 10.4%, 3.4%"
The monthly scholarship provided to each student was raised from US$ 10 in 2002 to US$ 43 in 2007.33 CHAPTER 2 EDUCATION OPPORTUNITIES FOR YOUTH 2.1.,"2002, 2007",
Quantity issue: Numbers and percentages in education 28 HUMAN DEVELOPMENT REPORT / TURKEY 2008 2 majority (64.4%) did not enjoy going to school during the previous year.,2008,64.4%
"Of those young people who did not continue their education, 11% were kept from going to school by their parents.",,11%
"secondary education level for the country is 56%, while it is 26% in Southeastern Anatolia and 41% in Northeastern Anatolia.37 Young people who did not attend postsecondary school institutions or university were questioned as part of The State of Youth Survey as to their reasons why.",,"56%, 26%, 41%"
"Some 30% said they either had to go to work to earn money or they did not have the economic means to pay for school expenses, while for 50% the stated reason was “lack of interest or desire.” If we look more closely at this last group however, we see that 60% of those are from lower income families,",,"30%, 50%, 60%"
"Among 1.4 million babies born every year in Turkey, approximately 20% receive early childhood education.",,20%
"And most of those children live in big cities and in relatively better economic situations.38 According to the State of Youth Survey, youth who have the highest rate of pre-school education opportunity are the ones belonging to the highest income group (40.3%).",,40.3%
"According to AÇEV, investment in early school education has a seven-fold return to the economy.39 Figure 2.1 The selected youth: Net schooling percentages at each level 29 TURKEY 2008 / HUMAN DEVELOPMENT REPORT 2 Besides those who leave school early or dropout of school at early stages, there are ma",2008,
"During the 2006-2007 school year, open primary schools extended educational services to 109,000 active students and open secondary schools to 193,000 students.","2006, 2007",
"The Open Vocational Schools, established in early 2006, have reached 56,000 youth either by TV broadcasting or, in some cases, through face-to-face teaching.",2006,
"Of the more than 1.3 million trainees who attend the public education centres every year, 56% are women, while the majority of the more than 300 thousand participants of the vocational training courses are men, with women constituting only 15%.",,"56%, 15%"
Several youth NGOs hold peer training programmes and internal training seminars for the volunteers working in their organizations in order to educate young trainers who can spread what they 30 HUMAN DEVELOPMENT REPORT / TURKEY 2008 2 have learnt by training other people and multiply the benefits to ,2008,
"The State of Youth Survey shows that 22% of the young labourers have started working before the age of 15, which is the legal starting age Special Contribution Gender inequality is a serious issue in education The combined effect of low public expenditure and a heavy reliance on private expenditure ",,22%
The gender gap in gross enrolment in secondary education was 17% in the 2002-2003 academic year — indicating a substantial number of adolescent girls who either dropped out or were withdrawn from the educational system by their families for various reasons.,"2002, 2003",17%
The gender gap in enrolment and attendance in primary education has since closed by 15% but universal access to education for adolescent girls remains a long way off.,,15%
This is reflected in the fact that only 25% of the female population over 15 years of age are accounted for in labour force participation rates.,,25%
"by UNICEF/Turkey Sources: Primary School Enrolment and Attendance, Ministry of National Education (MoNE) Research and Planning Committee, Ankara, 2003; Dr J.",2003,
"M., Girls’ Education Campaign Turkey, MoNE and UNICEF, Ankara, 2007; Prime Ministry Turkish Statistical Institute.",2007,
75% of young people who participated in the State of Youth Survey do not agree with the idea that going to school is a waste of time.,,75%
37% of the youth believe that their education does not play an important role in finding jobs.,,37%
Those who think that education partially affects employment chances constitute 12%.,,12%
While 34% of primary school graduates think that their education did or will have an effect on finding 31 TURKEY 2008 / HUMAN DEVELOPMENT REPORT 2 my life in private courses and exams.,2008,34%
Some 1.6 million students took the exam in 2007.45 Families sacrifice a lot to send their children to university.,2007,
"The number of universities has increased a job, this rate increases to 60.6% among university graduates.",,60.6%
"According to the figures pertaining to the beginning of the 2006-2007 school year, a total of 694,329 students from all geographical regions of Turkey were transported, free of charge, from their villages or small towns to schools in the provincial capitals (a total of 6,410 individual schools) whic","2006, 2007",
"According to 2006-2007 Ministry of Education figures, only about 40% of YIBO students are girls.","2006, 2007",40%
"A total of 16,171 handicapped students benefited from this service during the 2005-2006 school year and were able to continue their education.","2005, 2006",
"In order to benefit from the CCT, students must attend 80% of classes every month, and not repeat more than one year (throughout all school years).",,80%
"As of October 2006, more than 1.5 million students benefited from CCTs which greatly increased the ratio of students who advanced to secondary school and continued their studies beyond.",2006,
"Overall in Turkey, during the school year of 2003-2004, one out of two pupils, who attended the 8th grade were able to pass on to high school (Lycee); while 7 out of every 10 children who benefited from the CCT achieved this success.","2003, 2004",
"During the same period, the ratio of female students who graduated from the 8th grade and continued on to secondary school was 38.7%, while the corresponding ratio for girls who benefited from CCT was a net 75.4%.",,"38.7%, 75.4%"
"2.2 EFFORTS TO IMPROVE SCHOOL ATTENDANCE 32 HUMAN DEVELOPMENT REPORT / TURKEY 2008 2 rapidly in order to meet the demand, but still only one quarter of the applicants can actually make it to the university.",2008,
"The fact that the enrolment rate decreases by 37 percentage points, from 56% in secondary education to 19% in tertiary education, indicates that many students who gain the right to enter a university do not or cannot actually go to the university.46 This is partly the result of the university entran",,"56%, 19%"
"The share allocated to higher education institutions and the Council of Higher Education (YÖK), is 3.21% of the consolidated budget, amounting to US$ 5 billion or roughly 1% of the GNP in 2007.",2007,"3.21%, 1%"
"There are 68 public47 and 25 private universities in Turkey teaching a total of 2.5 million students.48 Per capita expenditure on core educational The number of private courses in Turkey increased more than 20-fold from 174 in 1984 to almost 4,000 in the 2006-2007 education year.","1984, 2006, 2007",
In 2007 more than 1.7 million candidates took the ÖSS exam.,2007,
"According to the World Bank’s ‘Education Sector in Turkey’ report in 2005, the money spent for exam preparations in Turkey was US$ 650 million in 2002.","2005, 2002",
The same research also reports that 11.4% of the total money spent for education by families goes to private courses and that this amount equals one fifth of public spending made on all universities in Turkey.,,11.4%
"Sources: Ankara Chamber of Commerce, Private Courses File, 2004; World Bank Education Sector in Turkey, 2005; National Education Statistics: Formal Education, 2006-2007.","2004, 2005, 2006, 2007",
"In 13 out of the 31 OECD countries and partner countries for which data are available, the proportion spent on capital expenditure at the tertiary level is 10% or more.",,10%
"In Greece, South Korea, Spain and Turkey it is above 17%.50 Scholarships and loans are distributed by the General Directorate of Higher Education Credits and Hostels Institution (Yurt-Kur).",,17%
"Still, only 560 thousand university students benefit from these loans 33 TURKEY 2008 / HUMAN DEVELOPMENT REPORT 2 have a significant effect on people’s decision to ask for financial support.",2008,
"The repayment period is approximately 3-4 years in Turkey, while it is 20 years or more in Iceland, Norway and Sweden where almost 100% of students get loans.52 In addition to the loan schemes, there are 220 student dormitories serving the accommodation need of higher education students under the co",,100%
"According to a research conducted in 2001, 42% of fourth grade students in Turkey were in the lowest quintile of the reading literacy scale.54 Too many students are graduating from schools without mastering a set of minimum skills, as stated in the 2005 UNESCO Education for All Monitoring Report.","2001, 2005",42%
"Similarly, OECD’s Programme for International Student Assessment (PISA) research in 2003 among 15-year-old youths living in OECD countries focused on how good educational systems prepare students for life.",2003,
"When asked if they were aware of any state scholarship or loan schemes, more than 50% of young people who responded to the State of Youth Survey said no.",,50%
"Repayment of these loans is an issue that needs attention because repayments can 34 HUMAN DEVELOPMENT REPORT / TURKEY 2008 2 School, (to become an imam).",2008,
"Ingrained 35 TURKEY 2008 / HUMAN DEVELOPMENT REPORT 2 negative attitudes towards education and training make it hard to design and implement policies to combat unemployment, especially youth unemployment.58 On the other hand, it needs to be pointed out that the 2006 labour force participation rate f","2008, 2006","84%, 70%, 7.8%, 13%"
"36% of all secondary school students currently attend vocational high schools.60 Because of the current university system, the decision to attend a vocational school or a general secondary school heavily determines the future of a young person’s education life.",,36%
"OECD’s PISA study of 2003, mentioned above, indicates that Turkey has the highest rate of standard divergence among its stu-dents’ scores because the best and the worst scorers are evaluated together.64 While average Turkish literacy and mathematics standards were low by international comparisons, a",2003,
"Although the eight year compulsory education has been in place since 1997, there are still five-year elementary schools in some villages and village teachers working there, sometimes teaching five different grades in the same classroom… A young male teacher serving in a village of Bitlis (in the Sou",1997,
"I think to myself ‘I divide the blackboard into five, but can 36 HUMAN DEVELOPMENT REPORT / TURKEY 2008 2 I divide myself, too?’ Each class has a different lesson, different curriculum and different levels.",2008,
"37 TURKEY 2008 / HUMAN DEVELOPMENT REPORT 2 Currently, most schools do not have a budget to address their needs in a timely manner.",2008,
38 HUMAN DEVELOPMENT REPORT / TURKEY 2008 2 Recent efforts to change the curricula for a more child-centred and constructivist approach holds potential for enhancing young people’s capacity to participate effectively in an innovative economy and a democratic society.,2008,
"In a package of recommendations addressing the Turkish Government, the education experts propose, in the framework of ‘Educational Reform Initiative’66, that “In order to train teachers with the necessary tools and skills and to encourage them to prepare their students to become democratic and conte","2008, 2012",
"According to 2005 data, the ratio of students who chose to do vocational studies in Turkey is 36%.",2005,36%
"Business places will contribute to the reduction of the unemployment problem by 39 TURKEY 2008 / HUMAN DEVELOPMENT REPORT 2 offering internships and later, permanent jobs to the students and graduates of vocational schools.",2008,
"Still, in a country like Turkey where there are 12 million young people who will be in the working age by 2020, both quantity and quality are big challenges.",2020,
40 HUMAN DEVELOPMENT REPORT / TURKEY 2008 Chapter 3 “YOUNG AND HEALTHY” ?,2008,
“A healthy mind can only be found in a healthy body” Turkish Proverb 43 TURKEY 2008 / HUMAN DEVELOPMENT REPORT 3 CHAPTER 3 “YOUNG AND HEALTHY”?,2008,
"A World Fit for Children, the outcome document of the 2002 United Nations Special Session on Children, acknowledges this when it says that: “A world fit for children is one in which … all children, including adolescents, have ample opportunity to develop their natural capacities in a safe and suppor",2002,
44 HUMAN DEVELOPMENT REPORT / TURKEY 2008 3 3.2.,2008,
"While roughly 7% of girls and boys attended pre–school in 2001, there were gender gaps of 8% in primary education and 17% in secondary education that same year.69 In 2007, a little more than 16% of girls and boys attend pre-school education, and the gender gap in primary education decreased down to ","2001, 2007","7%, 8%, 17%, 16%, 4%, 8%"
"Among those who have little or no primary education, 15% give birth between the ages of 15 and 19 years compared to 3% of their peers who finish high school.",,"15%, 3%"
"The situation of adolescent girls is showing improvements in this respect: Of those who had begun childbearing at the time of the last Turkey Demographic and Health Survey in 2003 (TDHS), the percentage had dropped from 10% in 1998 to 8% — 2% of whom were pregnant with their first child.70 The healt","2003, 1998","10%, 8%, 2%"
"The findings of the TDHS emphasise the adverse effects of child marriage on adolescent girls and their families by returning consistently poorer indicators for routine immunisation, stunted growth, disability, chronic illness and the recursive problem of lower educational 45 TURKEY 2008 / HUMAN DEVE",2008,
"Disturbingly, in its report published in 2003 the TDHS found that 63% of girls between 15 and 19 years of age felt that their husbands would be justified performance and attainment in their children.71 Although the law prohibits children from marrying, families — particularly those in remote rural a",2003,63%
"And many of the honour killings are not reported to police; are instead shown as suicide etc…’ As stated in the report produced by UNFPA and UNDP in 2005, entitled “The dynamics of Honour Killings in Turkey”, the younger generation is actually more accepting and supportive of killing in the name of ",2005,
"This conclusion is further reinforced by recent findings that 63% of the young women aged 15-19 expect to be beaten as part of their married life (TDHS, 2003).74 These findings show that the young generation needs to be trained well and thoroughly for combating violence against women.",2003,63%
The endorsement of the Law for the Protection of the Family (1998) and amendments in the Civil Law (2001) and the Penal Code (2004) all work to further criminalize violence against women and have increased the penalties for honour crimes.,"1998, 2001, 2004",
In May 2005 an “Investigation Commission for determining the causes of violence against women and children/ honour crimes” was established under the National Assembly.,2005,
"This commission’s Parliamentary Report led to the issuing of a Prime Ministerial circular on “Measures to Prevent Violent Acts against Women and Children, and Crimes in the Name of Honour and Custom” which was published in the Official Gazette in July 2006.",2006,
"Since 2005, the Ministry of Interior has also been proactive in combating violence against women/honour crimes by issuing circulars and initiating training for its personnel.",2005,
"In 2005 the Ministry of Interior, Security General Directorate issued a “Circular on the Implementation of the Family Protection Law (Number 4320)” for the action of 81 Governorships of Turkey.",2005,
"46 HUMAN DEVELOPMENT REPORT / TURKEY 2008 3 gender discrimination and nine women out of ten declare that beating cannot have any justification whatsoever.76 Although such a large improvement cannot be expected in such a relatively short period, a significant increase in awareness is observed and it ",2008,
"In 2003, the TDHS indicated that “In Turkey, marriage is very important from a demographic perspective, because, besides being prevalent throughout the country, almost all births occur within marriage.",2003,
"The number of HIV/AIDS infections reported since 1985 is low at 2,254 cases in beating them for at least one of five reasons specified in the survey.",1985,
"The most common response in that age group was from 52% who accepted that arguing with their husbands would be sufficient justification for violence.75 On the other hand, encouragingly, according to a very recent research work based on both quantitative and qualitative findings by Ayşe Gül Altınay a",2008,52%
"Of women who were questioned on methods of avoiding HIV/AIDS, 31% did not even know of AIDs or that it can be avoided and only 22% understood that condoms offer protection.",,"31%, 22%"
"BOX 3.1 MY FAMILY PROGRAMME 48 HUMAN DEVELOPMENT REPORT / TURKEY 2008 3 disorders, osteoporosis, diabetes mellitus, and oral and dental problems.",2008,
"Smoking causes coronary cardiac diseases, high blood pressure, cancer, chronic lung diseases, neurological and mental Public spending on health as a percentage of GDP in Turkey has improved from 2002, when it was 4.7% of GDP, to 2004 when it was about 5.2% of GDP.","2002, 2004","4.7%, 5.2%"
"However, per capita public expenditure on preventive health care is lower than any other OECD country, representing 10% of the average among OECD countries and the European Union (EU) and it actually fell from US$ 5.00 to US$ 4.80 between 1999 and 2003.81 Private health service expenditures through ","1999, 2003",10%
As around 95% of the population is covered by health insurance most of them benefit from health insurance through their parents or the green card which has been issued to a total of 14 million persons.,,95%
Social protection public expenditure to GDP has increased from 8.6% of GDP in 2002 to 9% in 2004.,"2002, 2004","8.6%, 9%"
Nevertheless the allocation for social protection expenditures in Turkey is currently still less than half the 2003 average within the EU.82 Public expenditure on health could rise during the course of the next few years owing to the Government’s plan to transform the Green Card scheme of free healt,2003,
"According to the new bill on health, the following is foreseen: The expanded system of universal health 49 TURKEY 2008 / HUMAN DEVELOPMENT REPORT 3 Health that will hopefully improve access to health services will be the establishment of the Universal Health Insurance Fund and the introduction of fa",2008,
The necessity for investment in adolescent health — and the provision of life–skills based education in particular — needs to be 50 HUMAN DEVELOPMENT REPORT / TURKEY 2008 Special Contribution Risks youth face in labour life explored more.,2008,
"Officials of the Ankara Alcohol and Substance Addiction Treatment and Training Centre (AMATEM) shared with the researchers of this Report at a meeting, the fact that none of the municipalities and private sector companies 51 TURKEY 2008 / HUMAN DEVELOPMENT REPORT 3 that were visited while seeking fi",2008,
"For example, an international programme was launched in 1992 to end child labour (International Programme on Elimination of Child Labour).",1992,
"52 HUMAN DEVELOPMENT REPORT / TURKEY 2008 Chapter 4 YOUTH UNEMPLOYMENT “You complete 16 years of education, go through all that but cannot find a job.",2008,
"First, one must have a job.” A female secondary school graduate from İzmir 55 TURKEY 2008 / HUMAN DEVELOPMENT REPORT 4 CHAPTER 4 YOUTH UNEMPLOYMENT 4.1.",2008,
This mainly stems from an unusually high share of agricultural employment -- above 40% for a long period-- which was to an important extent a result of the decadeslong agricultural subsidies that dampened the rural-urban population transition.,,40%
"Labour force participation rates by education in Turkey (TURKSTAT data) 56 HUMAN DEVELOPMENT REPORT / TURKEY 2008 4 unemployment appears to remain stuck not only for the young, but also for the whole labour force.",2008,
"The Turkish economy has grown rapidly after the big economic crisis in 2001, averaging about 7.5% annually in the 2002 to 2006 period.","2001, 2002, 2006",7.5%
Annual consumer inflation in 2007 registered 8.4%.,2007,8.4%
"In Turkey, out of every 100 young urban university graduate women in 2006, 50 worked, 20 were unemployed, and 30 did not participate in the labour force.",2006,
Thus the unemployment rate was just under 30%.,,30%
Male-female urban unemployment rates by education (TURKSTAT data) 57 TURKEY 2008 / HUMAN DEVELOPMENT REPORT 4 verge of becoming the seventeenth largest in the world with a GDP of about US$ 500 billion.,2008,
"(This Report was finalised before Turkey’s 2008 National Income Series were released.) According to the results of the 2007 Population Census, per capita income is expected to reach approximately US$ 7,000.","2008, 2007",
Exports exceeded US$ 85 billion in 2006 and reached US$ 105 billion in 2007.,"2006, 2007",
"In the State of Youth Survey, 49.1% of the youth said “a good job” is what they most want, followed by “esteem” (18.1%) and “love” (only 16.9%).",,"49.1%, 18.1%, 16.9%"
"In the case of employment, there has been an almost total lack of net job formation between 2002 and 2004 despite economic growth.","2002, 2004",
"As the findings of the World Bank’s 2006 Turkey Labour Force Study also show, the biggest disadvantage of young people in finding jobs is their youth.",2006,
"When asked for the most important reason why they cannot find jobs, in the State of Youth Survey, 29.9% of the young people answered, “being young and inexperienced”.",,29.9%
"Among those who are seeking jobs, the leastexperienced who will enter the labour force for the first time, are at an even bigger disadvantage; they constitute 40% of the total number of unemployed young people.",,40%
"“YOUNG” AND “INEXPERIENCED” ARE USED ALMOST SYNONYMOUSLY 58 HUMAN DEVELOPMENT REPORT / TURKEY 2008 4 In some cases, economic recovery comes without new jobs, especially in the emerging markets, because of productivity increases.",2008,
"During the period 1980-2002, annual real GNP growth in Turkey averaged about 4%, while the average employment growth rate was 0.8%.","1980, 2002","4%, 0.8%"
